repo_name,ref,path,symlink_target,docker_base_image
projectcalico/calico-rkt,refs/heads/master,Dockerfile.amd64,,buster
keopx/docker-apache-php,refs/heads/master,5.6/Dockerfile,,buster
sudden6/qTox,refs/heads/master,docker/Dockerfile.debian,,stretch
passbolt/passbolt_docker_debian,refs/heads/master,debian/Dockerfile.rootless,,bullseye
bpowers1215/MoneyMap,refs/heads/master,api/Dockerfile,,buster
Einstein42/udi-polyglotv2,refs/heads/master,docker/Dockerfile,,stretch
Gjacquenot/HOS-ocean,refs/heads/master,Dockerfile,,9
iemejia/incubator-beam,refs/heads/master,sdks/go/container/Dockerfile,,stretch
damien-carcel/Dockerfiles,refs/heads/master,node/12/Dockerfile,,buster
MediaKraken/MediaKraken_Deployment,refs/heads/master,docker/debian/ComposeMediaKrakenMooseFSChunkServer/Dockerfile,,stretch
sobolevn/git-secret,refs/heads/master,.ci/release-ci/debian/Dockerfile,,11.2
getong/docker-erlang-otp,refs/heads/master,19/slim/Dockerfile,,stretch
Qwaz/solved-hacking-problem,refs/heads/master,C3CTF/2019 36C3/catch_the_flag/orig/Dockerfile,,buster
djavorszky/ddn,refs/heads/master,dist/agent/postgres/Dockerfile,,stretch
google/skia,refs/heads/main,infra/docker/debian9/Dockerfile,,9
youtube/cobalt,refs/heads/master,third_party/skia_next/third_party/skia/infra/docker/debian9/Dockerfile,,9
moosefs/moosefs-docker-cluster,refs/heads/master,moosefs-metalogger/Dockerfile,,buster
malcata/docker-keepass2,refs/heads/master,Dockerfile,,bullseye
JellyBrick/tgbot-cpp,refs/heads/master,Dockerfile,,stretch
lonelycode/tyk,refs/heads/master,integration/image/Dockerfile,,buster
istana/libnss-maria,refs/heads/master,docker/Dockerfile.debian,,bullseye
siconos/siconos,refs/heads/master,ci_gitlab/dockerfiles/debian-stretch/Dockerfile,,stretch
helmesjo/hello-cd,refs/heads/master,docker/build.Dockerfile,,9.1
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/test/ruby_debian11_x64/Dockerfile,,11
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/test/ruby_debian11_x64/Dockerfile,,11
grpc/grpc,refs/heads/master,tools/dockerfile/test/ruby_debian11_x64/Dockerfile,,11
manekinekko/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
alxhub/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
blesh/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
angular/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
mgechev/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
JiaLiPassion/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
gdi2290/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
IdeaBlade/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
filipesilva/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
wKoza/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
angular-indonesia/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
shairez/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
ocombe/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
