repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
projectcalico/calico-rkt,refs/heads/master,Dockerfile.amd64,,buster,projectcalico,calico-rkt
keopx/docker-apache-php,refs/heads/master,5.6/Dockerfile,,buster,keopx,docker-apache-php
sudden6/qTox,refs/heads/master,docker/Dockerfile.debian,,stretch,sudden6,qTox
passbolt/passbolt_docker_debian,refs/heads/master,debian/Dockerfile.rootless,,bullseye,passbolt,passbolt_docker_debian
bpowers1215/MoneyMap,refs/heads/master,api/Dockerfile,,buster,bpowers1215,MoneyMap
Einstein42/udi-polyglotv2,refs/heads/master,docker/Dockerfile,,stretch,Einstein42,udi-polyglotv2
Gjacquenot/HOS-ocean,refs/heads/master,Dockerfile,,9,Gjacquenot,HOS-ocean
iemejia/incubator-beam,refs/heads/master,sdks/go/container/Dockerfile,,stretch,iemejia,incubator-beam
damien-carcel/Dockerfiles,refs/heads/master,node/12/Dockerfile,,buster,damien-carcel,Dockerfiles
MediaKraken/MediaKraken_Deployment,refs/heads/master,docker/debian/ComposeMediaKrakenMooseFSChunkServer/Dockerfile,,stretch,MediaKraken,MediaKraken_Deployment
sobolevn/git-secret,refs/heads/master,.ci/release-ci/debian/Dockerfile,,11.2,sobolevn,git-secret
getong/docker-erlang-otp,refs/heads/master,19/slim/Dockerfile,,stretch,getong,docker-erlang-otp
Qwaz/solved-hacking-problem,refs/heads/master,C3CTF/2019 36C3/catch_the_flag/orig/Dockerfile,,buster,Qwaz,solved-hacking-problem
djavorszky/ddn,refs/heads/master,dist/agent/postgres/Dockerfile,,stretch,djavorszky,ddn
google/skia,refs/heads/main,infra/docker/debian9/Dockerfile,,9,google,skia
youtube/cobalt,refs/heads/master,third_party/skia_next/third_party/skia/infra/docker/debian9/Dockerfile,,9,youtube,cobalt
moosefs/moosefs-docker-cluster,refs/heads/master,moosefs-metalogger/Dockerfile,,buster,moosefs,moosefs-docker-cluster
malcata/docker-keepass2,refs/heads/master,Dockerfile,,bullseye,malcata,docker-keepass2
JellyBrick/tgbot-cpp,refs/heads/master,Dockerfile,,stretch,JellyBrick,tgbot-cpp
lonelycode/tyk,refs/heads/master,integration/image/Dockerfile,,buster,lonelycode,tyk
istana/libnss-maria,refs/heads/master,docker/Dockerfile.debian,,bullseye,istana,libnss-maria
siconos/siconos,refs/heads/master,ci_gitlab/dockerfiles/debian-stretch/Dockerfile,,stretch,siconos,siconos
helmesjo/hello-cd,refs/heads/master,docker/build.Dockerfile,,9.1,helmesjo,hello-cd
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/test/ruby_debian11_x64/Dockerfile,,11,stanley-cheung,grpc
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/test/ruby_debian11_x64/Dockerfile,,11,grpc,grpc-ios
manekinekko/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster,manekinekko,angular
vincent-noel/SigNetSim,refs/heads/master,scripts/docker-py3/Dockerfile,,stretch,vincent-noel,SigNetSim
Foorgol/QTournament,refs/heads/master,AppImage/Dockerfile_BuildEnv,,buster,Foorgol,QTournament
konstruktoid/dockerfiles,refs/heads/master,texlive/Dockerfile,,buster,konstruktoid,dockerfiles
maddinat0r/docker-debian-samp,refs/heads/master,Dockerfile,,stretch,maddinat0r,docker-debian-samp
dirkfeytons/packages,refs/heads/master,.circleci/Dockerfile,,9,dirkfeytons,packages
Perl/docker-perl,refs/heads/master,5.034.000-slim-buster/Dockerfile,,buster,Perl,docker-perl
ejona86/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.6_x64/Dockerfile,,stretch,ejona86,grpc
HalCanary/skia-hc,refs/heads/master,infra/gcc/Debian10-mips64el/Dockerfile,,10,HalCanary,skia-hc
endlessm/chromium-browser,refs/heads/master,third_party/skia/infra/gcc/Debian10-mips64el/Dockerfile,,10,endlessm,chromium-browser
acch/XML-to-bootstrap,refs/heads/master,Dockerfile,,stretch,acch,XML-to-bootstrap
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_pythonasyncio/Dockerfile,,11,stanley-cheung,grpc
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/interoptest/grpc_interop_pythonasyncio/Dockerfile,,11,grpc,grpc-ios
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_6/Dockerfile,,stretch,stanley-cheung,grpc
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_6/Dockerfile,,stretch,grpc,grpc-ios
dooman87/imagemagick-docker,refs/heads/master,Dockerfile.buster,,buster,dooman87,imagemagick-docker
joelnb/dumb-init-docker,refs/heads/master,debian-stretch/Dockerfile,,stretch,joelnb,dumb-init-docker
nabeken/docker-smtp-sink,refs/heads/master,Dockerfile,,10,nabeken,docker-smtp-sink
lincheney/journald-2-cloudwatch,refs/heads/master,Dockerfile,,buster,lincheney,journald-2-cloudwatch
Deleplace/cool-maze,refs/heads/master,B3/Dockerfile,,buster,Deleplace,cool-maze
Perl/docker-perl,refs/heads/master,"eol/5.018.004-slim,threaded-buster/Dockerfile",,buster,Perl,docker-perl
vincent-noel/libSigNetSim,refs/heads/master,scripts/docker-py2/Dockerfile,,stretch,vincent-noel,libSigNetSim
crops/yocto-dockerfiles,refs/heads/master,dockerfiles/debian/debian-11/debian-11-base/Dockerfile,,11,crops,yocto-dockerfiles
konstruktoid/dockerfiles,refs/heads/master,rt-tests/Dockerfile,,buster,konstruktoid,dockerfiles
kdabir/has,refs/heads/master,tests/containers/debian.Dockerfile,,buster,kdabir,has
kdabir/dq,refs/heads/master,tests/containers/debian.Dockerfile,,buster,kdabir,dq
Nascom/operate-dockerfiles,refs/heads/master,php/7.1/stretch/base/Dockerfile,,stretch,Nascom,operate-dockerfiles
jeremyletang/whl-puller,refs/heads/master,docker/Dockerfile-deploy,,stretch,jeremyletang,whl-puller
camptocamp/r10k-dashboard,refs/heads/master,Dockerfile,,stretch,camptocamp,r10k-dashboard
nexdatas/selector,refs/heads/develop,.ci/debian9_py3/Dockerfile,,stretch,nexdatas,selector
QuadStingray/docker-mongodb,refs/heads/master,Dockerfile,,10,QuadStingray,docker-mongodb
GoogleCloudPlatform/cloud-foundation-fabric,refs/heads/master,modules/cloud-config-container/squid/docker/Dockerfile,,buster,GoogleCloudPlatform,cloud-foundation-fabric
markahesketh/ansible-role-ufw,refs/heads/master,molecule/default/.molecule/Dockerfile_debian_9,,9,markahesketh,ansible-role-ufw
composit/slowmo,refs/heads/master,Dockerfile,,buster,composit,slowmo
DarthSim/imgproxy,refs/heads/master,.circleci/Dockerfile,,buster,DarthSim,imgproxy
ngoduykhanh/PowerDNS-Admin,refs/heads/master,docker-test/Dockerfile,,stretch,ngoduykhanh,PowerDNS-Admin
tzulitai/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch,tzulitai,flink
aadl/docker-cups,refs/heads/master,2.2.1/Dockerfile,,stretch,aadl,docker-cups
