repo_name,ref,path,symlink_target
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.git/molecule/default/playbook-source.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-versions/molecule/default/7.2.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php/molecule/default/source-install.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.drush/molecule/default/source.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.memcached/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.drush/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-mysql/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.solr/molecule/default/solr-4.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.solr/molecule/default/solr-5.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.solr/molecule/default/solr-7.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.elasticsearch/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.git/molecule/default/playbook.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.java/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.ruby/molecule/default/playbook.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.drush/molecule/default/composer.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.nginx/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.adminer/molecule/default/standalone.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.redis/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-redis/molecule/default/playbook.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-versions/molecule/default/7.4.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.ruby/molecule/default/playbook-source.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.adminer/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.solr/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.blackfire/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.firewall/molecule/default/playbook.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-pgsql/molecule/default/playbook.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.php-pecl/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.solr/molecule/default/solr-3.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.postgresql/molecule/default/converge.yml,
akeemw/drupal-vm,refs/heads/master,provisioning/roles/geerlingguy.solr/molecule/default/solr-6.yml,
sgoings/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
sgoings/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
philsch/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
Deepakkothandan/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
bharathsreenivas/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
bharathsreenivas/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
olo-dw/ansible-role-sonar,refs/heads/master,molecule/default/playbook-latest.yml,
olo-dw/ansible-role-sonar,refs/heads/master,molecule/default/playbook.yml,
vicperdana/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
vicperdana/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
scibi/debops-playbooks,refs/heads/master,playbooks/tools/dist-upgrade.yml,
KanColleTool/kcsrv,refs/heads/master,provisioning/playbook.yml,
B-MOOC/configuration,refs/heads/master,playbooks/edx-east/gerrit_deploy.yml,
B-MOOC/configuration,refs/heads/master,playbooks/edx-east/create_dbs.yml,
robert-bakker/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
robert-bakker/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
ned1313/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
ned1313/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
iqstack/ansible-iqstack,refs/heads/master,install-jmeter-slaves.yml,
iqstack/ansible-iqstack,refs/heads/master,install-git.yml,
iqstack/ansible-iqstack,refs/heads/master,install-jmeter-master.yml,
iqstack/ansible-iqstack,refs/heads/master,install-ansible.yml,
iqstack/ansible-iqstack,refs/heads/master,install-pip.yml,
iqstack/ansible-iqstack,refs/heads/master,uninstall-git.yml,
iqstack/ansible-iqstack,refs/heads/master,uninstall-ansible.yml,
postgresqlfr/pgfr_toolbox,refs/heads/master,postgresql/install.yml,
akhfa/wrf_install,refs/heads/master,playbooks/vm.yml,
HuaweiSwitch/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
negritobomb/edxplat,refs/heads/master,playbooks/edx-east/create_dbs.yml,
negritobomb/edxplat,refs/heads/master,playbooks/edx-east/gerrit_deploy.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.git/molecule/default/playbook.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.php/molecule/default/playbook-source.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.drush/molecule/default/playbook-composer.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.supervisor/molecule/default/playbook-inet-http.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.php-versions/molecule/default/playbook-7.4.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.php-mysql/molecule/default/playbook.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.composer/molecule/default/playbook.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.git/molecule/default/playbook-source.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.php-versions/molecule/default/playbook-7.2.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.drush/molecule/default/playbook-source.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.php/molecule/default/playbook.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.supervisor/molecule/default/playbook.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.php-versions/molecule/default/converge.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.apache/molecule/default/playbook.yml,
opendevshop/devshop,refs/heads/1.x,roles/geerlingguy.drush/molecule/default/playbook.yml,
robertkowalski/cointoolkit-provisioning,refs/heads/master,setup.yml,
batazor/MyExampleAndExperiments,refs/heads/master,DevOps/Ansible/create-an-environment/tasks/vim-install.yml,
batazor/MyExampleAndExperiments,refs/heads/master,DevOps/Ansible/create-an-environment/tasks/zsh-install.yml,
matt1883/azure-quickstart-templates,refs/heads/master,101-Telegraf-InfluxDB-Grafana/scripts/Configfiles/ansible/docker_install.yml,
matt1883/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
BorisB2015/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
hotsyk/apbs,refs/heads/master,aws/registry.yml,
sil-student-projects/web-scriptureforge,refs/heads/master-sbu,deploy/playbook_debian.yml,
sil-student-projects/web-scriptureforge,refs/heads/master-sbu,deploy/dependencies.yml,
