repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
gtank/kubernetes,refs/heads/master,examples/job/work-queue-1/Dockerfile,,ubuntu:14.04,gtank,kubernetes
gtank/kubernetes,refs/heads/master,examples/phabricator/php-phabricator/Dockerfile,,ubuntu:14.04,gtank,kubernetes
gtank/kubernetes,refs/heads/master,cluster/mesos/docker/socat/Dockerfile,,ubuntu:14.04.3,gtank,kubernetes
gtank/kubernetes,refs/heads/master,examples/celery-rabbitmq/flower/Dockerfile,,ubuntu:trusty,gtank,kubernetes
ria-ee/X-Road,refs/heads/develop,src/packages/docker-debbuild/Dockerfile,,ubuntu:trusty,ria-ee,X-Road
servo/webrender,refs/heads/master,ci-scripts/docker-image/Dockerfile,,debian:buster-20200422,servo,webrender
Oefenweb/ansible-postfix,refs/heads/master,Dockerfile,,ubuntu:16.04,Oefenweb,ansible-postfix
JonathanSalwan/Triton,refs/heads/master,Dockerfile,,ubuntu:20.04,JonathanSalwan,Triton
tonylixu/docker-compose,refs/heads/master,containers/zimbra/docker-container/docker/Dockerfile,,ubuntu:14.04,tonylixu,docker-compose
bazurbat/docker-wine,refs/heads/master,Dockerfile,,ubuntu:14.04,bazurbat,docker-wine
nerdalize/deltares-delft3d,refs/heads/master,6906.Dockerfile,,ubuntu:16.04,nerdalize,deltares-delft3d
stefwalter/cockpit,refs/heads/master,containers/unit-tests/Dockerfile,,ubuntu:16.04,stefwalter,cockpit
jvencels/OpenFOAM_Elmer,refs/heads/master,docker/Dockerfile_pv54_mesa,,ubuntu:16.04,jvencels,OpenFOAM_Elmer
jvencels/OpenFOAM_Elmer,refs/heads/master,docker/Dockerfile_pv56_mesa,,ubuntu:18.04,jvencels,OpenFOAM_Elmer
timstclair/kube-contrib,refs/heads/master,ingress/controllers/gce/Dockerfile,,ubuntu:14.04,timstclair,kube-contrib
mongodb/mongo-ruby-driver,refs/heads/master,.evergreen/local-kerberos/Dockerfile,,ubuntu:bionic,mongodb,mongo-ruby-driver
mongodb/mongo-ruby-driver,refs/heads/master,release/mri/Dockerfile,,debian:10,mongodb,mongo-ruby-driver
TildeWill/huginn,refs/heads/master,docker/single-process/Dockerfile,,ubuntu:14.04,TildeWill,huginn
nak3/kubernetes,refs/heads/master,cluster/gce/gci/mounter/Dockerfile,,ubuntu:xenial,nak3,kubernetes
suyashdb/bids-validator,refs/heads/master,Dockerfile,,ubuntu:trusty,suyashdb,bids-validator
joergoster/cutechess,refs/heads/master,dist/linux/Dockerfile,,ubuntu:bionic,joergoster,cutechess
blakfeld/OAC-Sizer,refs/heads/master,Dockerfile,,ubuntu:16.04,blakfeld,OAC-Sizer
