repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
eversC/inspectr,refs/heads/master,Dockerfile,,ubuntu:16.10,eversC,inspectr
pedro-r-marques/examples,refs/heads/master,docker/web/Dockerfile,,ubuntu:14.04,pedro-r-marques,examples
kbrebanov/ansible-git,refs/heads/master,tests/Dockerfile.ubuntu-16.04,,ubuntu:16.04,kbrebanov,ansible-git
riseofthetigers/kubernetes-cluster-manager,refs/heads/master,examples/celery-rabbitmq/flower/Dockerfile,,ubuntu:trusty,riseofthetigers,kubernetes-cluster-manager
xuleiboy1234/autoTitle,refs/heads/master,tensorflow/tensorflow/contrib/makefile/Dockerfile,,ubuntu:16.04,xuleiboy1234,autoTitle
Kaixhin/dockerfiles,refs/heads/master,neon/Dockerfile,,ubuntu:14.04,Kaixhin,dockerfiles
google/gvisor,refs/heads/master,images/benchmarks/absl/Dockerfile.x86_64,,ubuntu:18.04,google,gvisor
benbjohnson/flynn,refs/heads/master,gitreceive/Dockerfile,,ubuntu:trusty-20160217,benbjohnson,flynn
phnmnl/workflow-demo,refs/heads/master,OpenMS/OpenMSDockers/OpenSwathRTNormalizer/Dockerfile,,ubuntu:14.04,phnmnl,workflow-demo
iBourgeois/Armada,refs/heads/master,containers/nginx-proxy/Dockerfile,,ubuntu:14.04,iBourgeois,Armada
lablup/sorna-repl,refs/heads/master,commons/Dockerfile.cntk.2.0-py36,,ubuntu:18.04,lablup,sorna-repl
dns2utf8/frontg8_client,refs/heads/master,Dockerfile,,ubuntu:trusty-20150427,dns2utf8,frontg8_client
tomologic/docker-salt-master,refs/heads/master,Dockerfile,,debian:9,tomologic,docker-salt-master
sourcegraph/srclib-docker,refs/heads/master,Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/influxdb/Dockerfile,,ubuntu:14.04,sourcegraph,srclib-docker
aviau/toxin,refs/heads/master,Dockerfile,,ubuntu:trusty,aviau,toxin
meet-tarantino/tarantino,refs/heads/master,test/images/tt-test-base/Dockerfile,,ubuntu:16.04,meet-tarantino,tarantino
swiftdocker/docker-swift,refs/heads/main,5.0/ubuntu/18.04/slim/Dockerfile,,ubuntu:18.04,swiftdocker,docker-swift
mariobarbareschi/stm32-compiler-docker,refs/heads/master,Dockerfile,,ubuntu:16.04,mariobarbareschi,stm32-compiler-docker
ejj/quilt-dev,refs/heads/master,ovs/Dockerfile,,ubuntu:16.04,ejj,quilt-dev
mferpan/devops,refs/heads/master,docker/monitoring/Dockerfile,,ubuntu:14.04,mferpan,devops
ScriptRockPublic/avahi_docker,refs/heads/master,Dockerfile,,ubuntu:14.04,ScriptRockPublic,avahi_docker
aarobc/docker-owrt,refs/heads/master,dfiles/make/Dockerfile,,ubuntu:14.10,aarobc,docker-owrt
zeliard/EasyGameServer,refs/heads/master,Dockerfile,,ubuntu:14.04,zeliard,EasyGameServer
phnmnl/workflow-demo,refs/heads/master,OpenMS/OpenMSDockers/MascotAdapter/Dockerfile,,ubuntu:14.04,phnmnl,workflow-demo
budhrg/toopaste,refs/heads/master,Dockerfile,,ubuntu:14.04,budhrg,toopaste
jmgilman/neolib2,refs/heads/master,docker/Dockerfile,,ubuntu:14.04,jmgilman,neolib2
cjhardekopf/docker-playframework,refs/heads/master,Dockerfile,,ubuntu:trusty,cjhardekopf,docker-playframework
weidongshao/compass-adapters,refs/heads/master,docker-build/rally/Dockerfile,,ubuntu:trusty,weidongshao,compass-adapters
cs3238-tsuzu/popcon-sc,refs/heads/master,ppjudge/sample_images/cpp/Dockerfile,,ubuntu:16.04,cs3238-tsuzu,popcon-sc
ianmiell/OLD-shutitdist,refs/heads/master,attr/Dockerfile,,ubuntu:14.04,ianmiell,OLD-shutitdist
Qwaz/solved-hacking-problem,refs/heads/master,RealWorldCTF/2022/who-moved-my-block/container/Dockerfile1,,ubuntu:20.04,Qwaz,solved-hacking-problem
conversationai/conversationai-moderator,refs/heads/main,deployments/standalone/Dockerfile,,ubuntu:bionic,conversationai,conversationai-moderator
mlperf/training_results_v0.7,refs/heads/master,Fujitsu/benchmarks/resnet/implementations/implementation_open/mxnet/ci/docker/Dockerfile.build.ubuntu_cpu_c,,ubuntu:16.04,mlperf,training_results_v0.7
hairyhenderson/rancheros,refs/heads/master,Godeps/_workspace/src/github.com/rancher/docker-from-scratch/base-image/Dockerfile,,ubuntu:14.04.2,hairyhenderson,rancheros
josketres/docker-node-builder,refs/heads/master,Dockerfile,,ubuntu:trusty,josketres,docker-node-builder
harbur/docker-haveged,refs/heads/master,Dockerfile,,ubuntu:14.04,harbur,docker-haveged
maxwell92/docker,refs/heads/master,builder/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,maxwell92,docker
sourcegraph/srclib-docker,refs/heads/master,Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04,sourcegraph,srclib-docker
alejandrososa/dockbox,refs/heads/master,hhvm/Dockerfile,,ubuntu:14.04,alejandrososa,dockbox
capergroup/bayou,refs/heads/master,src/main/docker/Dockerfile,,ubuntu:16.04,capergroup,bayou
