repo_name,ref,path,symlink_target
UnitedIncome/serverless-python-requirements,refs/heads/master,example/serverless.yml,
1Strategy/security-fairy,refs/heads/master,template.yaml,
Cloudzero/cloudzero-reactor-aws,refs/heads/develop,serverless.yml,
Vilsepi/infinimonkey,refs/heads/master,backend/serverless.yml,
ar90n/serverless-s3-local,refs/heads/master,example/simple_event_python/serverless.yml,
grassrootza/grassroot-learning,refs/heads/master,actions-serverless/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/python/python2/serverless.yml,
spartansystems/lazysusan,refs/heads/master,examples/age_difference/Age/serverless.yml,
psyhomb/serverless,refs/heads/master,aws-lambda/ftags/serverless.yml,
ReutersMedia/sqs-browser-events,refs/heads/master,cognito/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/docker/python/python3.6/serverless.yml,
lambdacult/spark-examples,refs/heads/master,python2.7/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Tensorflow/source/serverless.yml,
hamish/SmeltCMS,refs/heads/master,serverless.yml,
awslabs/aws-cfn-templates,refs/heads/master,aws/services/CloudFormation/MacrosExamples/Count/template.yaml,
beproud/bp-cron,refs/heads/master,serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/change/serverless.yml,
jasontwong/norris,refs/heads/master,serverless.yml,
42zone/findme,refs/heads/master,serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/docker/python/python3.7/serverless.yml,
Vilsepi/no-servers,refs/heads/master,backend/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/postgres_access_layer/serverless.yml,
Spaider/jenbot,refs/heads/master,serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,tests/non_poetry_pyproject/serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,tests/individually/serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,tests/pipenv/serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,tests/poetry/serverless.yml,
DongjunLee/kino-bot,refs/heads/master,kino-webhook/serverless.yml,
shalupov/idea-cloudformation,refs/heads/master,testData/serverless-application-model/src/2016-10-31_cloudwatch-event-to-msteams_template.yaml,
bagpack/serverless-framework-qrcode-service,refs/heads/master,serverless.yml,
